Организация,Логин ,Пароль,Пользователь ФИО,Есть программа в конструкторе
"ГАПОУ РК ""Колледж технологии и предпринимательства""","popov@mail.ru
",d03ccabb,Попов Руслан Константинович,Да (разработана)
ГАПОУ РК «ПЕТРОЗАВОДСКИЙ АВТОТРАНСПОРТНЫЙ ТЕХНИКУМ»,"orovnadegda@gmail.com
",f4065282,Орлова Надежда Петровна,Да (разработана)
"ГАПОУ РК ""ПЕТРОЗАВОДСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""",antonvld@yandex.ru,"a7b5938f
",Антонов Владислав Захарович,Да (разработана)
"ГАПОУ РК ""ПЕТРОЗАВОДСКИЙ ТЕХНИКУМ ГОРОДСКОГО ХОЗЯЙСТВА""","marsov@yandex.ru
","5b1e8336
",Мартынов Арсений Дмитриевич,Да (разработана)
"ГАПОУ РК ""СЕВЕРНЫЙ КОЛЛЕДЖ""","mihas@yandex.ru
","256edf7b
",Михайлов Степан Львович,Да (разработана)
"ГАПОУ РК ""Сортавальский колледж""","elizalex@mail.com
","914f1fcf
",Алексеева Елизавета Германовна,Да (разработана)
"ГБПОУ РК ""КАРЕЛЬСКИЙ КОЛЛЕДЖ КУЛЬТУРЫ И ИСКУССТВ""",stepan07031972@ya.ru,"70b4f9f6
",Дорохин Степан Игнатьевич,Да (разработана)
"ГБПОУ РК ""КОСТОМУКШСКИЙ ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ""","leon3212@yandex.ru
","3bd9511c
",Леонтьев Олег Маркови,Да (разработана)
ГБПОУ РК «Петрозаводский лесотехнический техникум»,"sidoriv@mail.ru
","8c0aa349
",Сидоров Тимофей Алексеевич,Да (разработана)
"ЧПОУ ""ПЕТРОЗАВОДСКИЙ КООПЕРАТИВНЫЙ ТЕХНИКУМ КАРЕЛРЕСПОТРЕБСОЮЗА""","eva@gmail.com
","134c10e3
",Киселева Ева Львовна,Да (разработана)
"ЧУ ПО Юридический полицейский колледж, Карельский филиал",Muhldal@mail.com,"5fb3e76f
",Мухаметова Варвара Ярославовна,Да (пустая)
"ГБПОУ РК ""Петрозаводский музыкальный колледж им. К.Э. Раутио""","akt@gmail.cop
",c5faa5db,Боброва Софья Фёдоровна,Да (пустая)
"ГАПОУ РК ""ПЕТРОЗАВОДСКИЙ БАЗОВЫЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ""","terent@yandex.ru
","63b0e5bb
",Терентьев Евгений Макарович,Да (утверждена + пустая)
